dataset,test_length,hard_alert_count,hard_tp,hard_fp,hard_fn,hard_precision,hard_recall,hard_f1,standard_review_count,standard_review_tp,standard_review_fp,priority_review_count,priority_review_tp,priority_review_fp,combined_f1
CricketY_normal_12,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
CricketY_normal_2,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CricketY_normal_3,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
CricketY_normal_4,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
CricketY_normal_5,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
CricketY_normal_6,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CricketY_normal_7,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CricketY_normal_8,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CricketY_normal_9,50,0,0,0,1,0.0,0.0,0.0,1,1,0,0,0,0,1.0
CricketZ_normal_1,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
CricketZ_normal_10,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
CricketZ_normal_11,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
CricketZ_normal_12,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
CricketZ_normal_2,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CricketZ_normal_3,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CricketZ_normal_4,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CricketZ_normal_5,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
CricketZ_normal_6,50,0,0,0,1,0.0,0.0,0.0,1,0,1,0,0,0,0.0
CricketZ_normal_7,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CricketZ_normal_8,50,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,0,1.0
CricketZ_normal_9,50,1,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0
Crop_normal_1,1000,10,10,0,10,1.0,0.5,0.6666666666666666,5,5,0,0,0,0,0.8571428571428571
Crop_normal_10,1000,16,16,0,4,1.0,0.8,0.8888888888888888,0,0,0,0,0,0,0.8888888888888888
Crop_normal_11,1000,11,9,2,11,0.8181818181818182,0.45,0.5806451612903226,0,0,0,0,0,0,0.5806451612903226
Crop_normal_12,1000,1,1,0,19,1.0,0.05,0.09523809523809523,1,1,0,0,0,0,0.18181818181818182
Crop_normal_13,1000,13,11,2,9,0.8461538461538461,0.55,0.6666666666666666,2,2,0,0,0,0,0.7428571428571429
Crop_normal_14,1000,2,1,1,19,0.5,0.05,0.09090909090909091,2,0,2,0,0,0,0.08333333333333333
Crop_normal_15,1000,9,9,0,11,1.0,0.45,0.6206896551724138,3,3,0,0,0,0,0.75
Crop_normal_16,1000,7,7,0,13,1.0,0.35,0.5185185185185185,1,0,1,0,0,0,0.5
Crop_normal_17,1000,11,11,0,9,1.0,0.55,0.7096774193548387,1,0,1,0,0,0,0.6875
Crop_normal_18,1000,12,12,0,8,1.0,0.6,0.75,1,1,0,0,0,0,0.7878787878787878
Crop_normal_19,1000,9,8,1,12,0.8888888888888888,0.4,0.5517241379310345,3,1,2,0,0,0,0.5625
Crop_normal_2,1000,5,4,1,16,0.8,0.2,0.32,2,0,2,0,0,0,0.2962962962962963
Crop_normal_20,1000,10,10,0,10,1.0,0.5,0.6666666666666666,1,1,0,0,0,0,0.7096774193548387
